"job_title","salary","department_name","salary_rank","salary_percentile","dept_avg_salary","salary_diff_from_avg"
"technical writer",44377,"baby","45",0.022222222222222223,"99658.000000000000","-55281.000000000000"
"electrical engineer",45774,"baby","44",0.044444444444444446,"99658.000000000000","-53884.000000000000"
"vp sales",47281,"baby","43",0.06666666666666667,"99658.000000000000","-52377.000000000000"
"pharmacist",53964,"baby","42",0.08888888888888889,"99658.000000000000","-45694.000000000000"
"biostatistician i",58555,"baby","41",0.1111111111111111,"99658.000000000000","-41103.000000000000"
"community outreach specialist",63364,"baby","40",0.13333333333333333,"99658.000000000000","-36294.000000000000"
"software test engineer i",66063,"baby","39",0.15555555555555556,"99658.000000000000","-33595.000000000000"
"desktop support technician",67800,"baby","38",0.17777777777777778,"99658.000000000000","-31858.000000000000"
"recruiting manager",69594,"baby","37",0.2,"99658.000000000000","-30064.000000000000"
"senior editor",69936,"baby","36",0.2222222222222222,"99658.000000000000","-29722.000000000000"
"environmental tech",71363,"baby","35",0.24444444444444444,"99658.000000000000","-28295.000000000000"
"vp product management",79045,"baby","34",0.26666666666666666,"99658.000000000000","-20613.000000000000"
"administrative assistant iii",82244,"baby","33",0.28888888888888886,"99658.000000000000","-17414.000000000000"
"community outreach specialist",83177,"baby","32",0.3111111111111111,"99658.000000000000","-16481.000000000000"
"marketing assistant",84356,"baby","31",0.3333333333333333,"99658.000000000000","-15302.000000000000"
"tax accountant",86939,"baby","30",0.35555555555555557,"99658.000000000000","-12719.000000000000"
"assistant manager",87134,"baby","29",0.37777777777777777,"99658.000000000000","-12524.000000000000"
"senior editor",89969,"baby","28",0.4,"99658.000000000000","-9689.000000000000"
"environmental tech",91296,"baby","27",0.4222222222222222,"99658.000000000000","-8362.000000000000"
"analyst programmer",91932,"baby","26",0.4444444444444444,"99658.000000000000","-7726.000000000000"
"sales associate",101006,"baby","25",0.4666666666666667,"99658.000000000000","1348.000000000000"
"recruiting manager",101768,"baby","24",0.4888888888888889,"99658.000000000000","2110.000000000000"
"electrical engineer",108378,"baby","23",0.5111111111111111,"99658.000000000000","8720.000000000000"
"cost accountant",110589,"baby","22",0.5333333333333333,"99658.000000000000","10931.000000000000"
"research assistant ii",111041,"baby","21",0.5555555555555556,"99658.000000000000","11383.000000000000"
"gis technical architect",111689,"baby","20",0.5777777777777777,"99658.000000000000","12031.000000000000"
"senior editor",113231,"baby","19",0.6,"99658.000000000000","13573.000000000000"
"product engineer",115506,"baby","18",0.6222222222222222,"99658.000000000000","15848.000000000000"
"graphic designer",116487,"baby","17",0.6444444444444445,"99658.000000000000","16829.000000000000"
"software consultant",120875,"baby","16",0.6666666666666666,"99658.000000000000","21217.000000000000"
"human resources assistant ii",121300,"baby","15",0.6888888888888889,"99658.000000000000","21642.000000000000"
"structural engineer",126001,"baby","14",0.7111111111111111,"99658.000000000000","26343.000000000000"
"computer systems analyst i",126485,"baby","13",0.7333333333333333,"99658.000000000000","26827.000000000000"
"nurse",127521,"baby","12",0.7555555555555555,"99658.000000000000","27863.000000000000"
"technical writer",128448,"baby","11",0.7777777777777778,"99658.000000000000","28790.000000000000"
"office assistant iii",128885,"baby","10",0.8,"99658.000000000000","29227.000000000000"
"developer i",129324,"baby","9",0.8222222222222222,"99658.000000000000","29666.000000000000"
"administrative officer",130993,"baby","8",0.8444444444444444,"99658.000000000000","31335.000000000000"
"vp product management",133612,"baby","7",0.8666666666666667,"99658.000000000000","33954.000000000000"
"graphic designer",135326,"baby","6",0.8888888888888888,"99658.000000000000","35668.000000000000"
"media manager ii",136448,"baby","5",0.9111111111111111,"99658.000000000000","36790.000000000000"
"programmer iv",140194,"baby","4",0.9333333333333333,"99658.000000000000","40536.000000000000"
"associate professor",141505,"baby","3",0.9555555555555556,"99658.000000000000","41847.000000000000"
"marketing assistant",144724,"baby","2",0.9777777777777777,"99658.000000000000","45066.000000000000"
"assistant professor",146167,"baby","1",1,"99658.000000000000","46509.000000000000"
"marketing assistant",42924,"beauty","45",0,"93749.422222222222","-50825.422222222222"
"tax accountant",42944,"beauty","44",0.022727272727272728,"93749.422222222222","-50805.422222222222"
"sales representative",48927,"beauty","43",0.045454545454545456,"93749.422222222222","-44822.422222222222"
"database administrator iii",50448,"beauty","42",0.06818181818181818,"93749.422222222222","-43301.422222222222"
"data coordiator",52171,"beauty","41",0.09090909090909091,"93749.422222222222","-41578.422222222222"
"operator",54413,"beauty","40",0.11363636363636363,"93749.422222222222","-39336.422222222222"
"analog circuit design manager",54704,"beauty","39",0.13636363636363635,"93749.422222222222","-39045.422222222222"
"analyst programmer",62114,"beauty","38",0.1590909090909091,"93749.422222222222","-31635.422222222222"
"registered nurse",65216,"beauty","37",0.18181818181818182,"93749.422222222222","-28533.422222222222"
"general manager",66608,"beauty","36",0.20454545454545456,"93749.422222222222","-27141.422222222222"
"assistant media planner",66847,"beauty","35",0.22727272727272727,"93749.422222222222","-26902.422222222222"
"account executive",72534,"beauty","34",0.25,"93749.422222222222","-21215.422222222222"
"design engineer",73905,"beauty","33",0.2727272727272727,"93749.422222222222","-19844.422222222222"
"operator",77285,"beauty","32",0.29545454545454547,"93749.422222222222","-16464.422222222222"
"librarian",77530,"beauty","31",0.3181818181818182,"93749.422222222222","-16219.422222222222"
"civil engineer",79339,"beauty","30",0.3409090909090909,"93749.422222222222","-14410.422222222222"
"senior quality engineer",80813,"beauty","29",0.36363636363636365,"93749.422222222222","-12936.422222222222"
"analyst programmer",80939,"beauty","28",0.38636363636363635,"93749.422222222222","-12810.422222222222"
"software test engineer i",84318,"beauty","27",0.4090909090909091,"93749.422222222222","-9431.422222222222"
"compensation analyst",85227,"beauty","26",0.4318181818181818,"93749.422222222222","-8522.422222222222"
"administrative officer",86497,"beauty","25",0.45454545454545453,"93749.422222222222","-7252.422222222222"
"senior editor",89035,"beauty","24",0.4772727272727273,"93749.422222222222","-4714.422222222222"
"web developer iii",89680,"beauty","23",0.5,"93749.422222222222","-4069.422222222222"
"quality control specialist",90068,"beauty","22",0.5227272727272727,"93749.422222222222","-3681.422222222222"
"senior financial analyst",94049,"beauty","21",0.5454545454545454,"93749.422222222222","299.577777777778"
"graphic designer",96388,"beauty","20",0.5681818181818182,"93749.422222222222","2638.577777777778"
"occupational therapist",97427,"beauty","19",0.5909090909090909,"93749.422222222222","3677.577777777778"
"nurse practicioner",103845,"beauty","18",0.6136363636363636,"93749.422222222222","10095.577777777778"
"senior developer",106281,"beauty","17",0.6363636363636364,"93749.422222222222","12531.577777777778"
"web developer iii",106659,"beauty","16",0.6590909090909091,"93749.422222222222","12909.577777777778"
"business systems development analyst",110058,"beauty","15",0.6818181818181818,"93749.422222222222","16308.577777777778"
"chief design engineer",110383,"beauty","14",0.7045454545454546,"93749.422222222222","16633.577777777778"
"clinical specialist",112837,"beauty","13",0.7272727272727273,"93749.422222222222","19087.577777777778"
"structural engineer",116355,"beauty","12",0.75,"93749.422222222222","22605.577777777778"
"assistant professor",125398,"beauty","11",0.7727272727272727,"93749.422222222222","31648.577777777778"
"junior executive",125914,"beauty","10",0.7954545454545454,"93749.422222222222","32164.577777777778"
"accounting assistant iii",127291,"beauty","9",0.8181818181818182,"93749.422222222222","33541.577777777778"
"programmer iii",128048,"beauty","8",0.8409090909090909,"93749.422222222222","34298.577777777778"
"web developer iv",131273,"beauty","7",0.8636363636363636,"93749.422222222222","37523.577777777778"
"accountant ii",134334,"beauty","6",0.8863636363636364,"93749.422222222222","40584.577777777778"
"structural analysis engineer",138970,"beauty","5",0.9090909090909091,"93749.422222222222","45220.577777777778"
"design engineer",140004,"beauty","4",0.9318181818181818,"93749.422222222222","46254.577777777778"
"programmer iv",141464,"beauty","3",0.9545454545454546,"93749.422222222222","47714.577777777778"
"nurse practicioner",148573,"beauty","2",0.9772727272727273,"93749.422222222222","54823.577777777778"
"general manager",148687,"beauty","1",1,"93749.422222222222","54937.577777777778"
"quality control specialist",40254,"clothing","53",0,"103416.283018867925","-63162.283018867925"
"computer systems analyst iv",41299,"clothing","52",0.019230769230769232,"103416.283018867925","-62117.283018867925"
"quality engineer",47716,"clothing","51",0.038461538461538464,"103416.283018867925","-55700.283018867925"
"teacher",48791,"clothing","50",0.057692307692307696,"103416.283018867925","-54625.283018867925"
"accountant iv",50060,"clothing","49",0.07692307692307693,"103416.283018867925","-53356.283018867925"
"mechanical systems engineer",55081,"clothing","48",0.09615384615384616,"103416.283018867925","-48335.283018867925"
"structural engineer",63918,"clothing","47",0.11538461538461539,"103416.283018867925","-39498.283018867925"
"food chemist",66313,"clothing","46",0.1346153846153846,"103416.283018867925","-37103.283018867925"
"accounting assistant iv",69045,"clothing","45",0.15384615384615385,"103416.283018867925","-34371.283018867925"
"electrical engineer",71448,"clothing","44",0.17307692307692307,"103416.283018867925","-31968.283018867925"
"computer systems analyst i",72016,"clothing","43",0.19230769230769232,"103416.283018867925","-31400.283018867925"
"teacher",72948,"clothing","42",0.21153846153846154,"103416.283018867925","-30468.283018867925"
"business systems development analyst",74191,"clothing","41",0.23076923076923078,"103416.283018867925","-29225.283018867925"
"technical writer",76052,"clothing","40",0.25,"103416.283018867925","-27364.283018867925"
"senior developer",79419,"clothing","39",0.2692307692307692,"103416.283018867925","-23997.283018867925"
"marketing manager",79718,"clothing","38",0.28846153846153844,"103416.283018867925","-23698.283018867925"
"account representative iii",83144,"clothing","37",0.3076923076923077,"103416.283018867925","-20272.283018867925"
"paralegal",88972,"clothing","36",0.3269230769230769,"103416.283018867925","-14444.283018867925"
"employees accountant iii",91651,"clothing","35",0.34615384615384615,"103416.283018867925","-11765.283018867925"
"vp product management",95424,"clothing","34",0.36538461538461536,"103416.283018867925","-7992.283018867925"
"accounting assistant i",96673,"clothing","33",0.38461538461538464,"103416.283018867925","-6743.283018867925"
"web designer ii",101653,"clothing","32",0.40384615384615385,"103416.283018867925","-1763.283018867925"
"computer systems analyst iii",102361,"clothing","31",0.4230769230769231,"103416.283018867925","-1055.283018867925"
"electrical engineer",107093,"clothing","30",0.4423076923076923,"103416.283018867925","3676.716981132075"
"community outreach specialist",107389,"clothing","29",0.46153846153846156,"103416.283018867925","3972.716981132075"
"legal assistant",110749,"clothing","28",0.4807692307692308,"103416.283018867925","7332.716981132075"
"clinical specialist",113893,"clothing","27",0.5,"103416.283018867925","10476.716981132075"
"account representative iv",114436,"clothing","26",0.5192307692307693,"103416.283018867925","11019.716981132075"
"librarian",115888,"clothing","25",0.5384615384615384,"103416.283018867925","12471.716981132075"
"tax accountant",116013,"clothing","24",0.5576923076923077,"103416.283018867925","12596.716981132075"
"environmental tech",116767,"clothing","23",0.5769230769230769,"103416.283018867925","13350.716981132075"
"accountant iii",117962,"clothing","22",0.5961538461538461,"103416.283018867925","14545.716981132075"
"web developer i",121378,"clothing","21",0.6153846153846154,"103416.283018867925","17961.716981132075"
"systems administrator ii",122446,"clothing","20",0.6346153846153846,"103416.283018867925","19029.716981132075"
"speech pathologist",123017,"clothing","19",0.6538461538461539,"103416.283018867925","19600.716981132075"
"financial advisor",123391,"clothing","18",0.6730769230769231,"103416.283018867925","19974.716981132075"
"assistant media planner",123995,"clothing","17",0.6923076923076923,"103416.283018867925","20578.716981132075"
"registered nurse",124707,"clothing","16",0.7115384615384616,"103416.283018867925","21290.716981132075"
"help desk operator",128947,"clothing","15",0.7307692307692307,"103416.283018867925","25530.716981132075"
"office assistant iv",130097,"clothing","14",0.75,"103416.283018867925","26680.716981132075"
"database administrator iv",131152,"clothing","13",0.7692307692307693,"103416.283018867925","27735.716981132075"
"social worker",131811,"clothing","12",0.7884615384615384,"103416.283018867925","28394.716981132075"
"sales representative",131816,"clothing","11",0.8076923076923077,"103416.283018867925","28399.716981132075"
"database administrator ii",132470,"clothing","10",0.8269230769230769,"103416.283018867925","29053.716981132075"
"operator",135445,"clothing","9",0.8461538461538461,"103416.283018867925","32028.716981132075"
"office assistant iv",136356,"clothing","8",0.8653846153846154,"103416.283018867925","32939.716981132075"
"accountant iv",137911,"clothing","7",0.8846153846153846,"103416.283018867925","34494.716981132075"
"analyst programmer",138682,"clothing","6",0.9038461538461539,"103416.283018867925","35265.716981132075"
"product engineer",141949,"clothing","5",0.9230769230769231,"103416.283018867925","38532.716981132075"
"paralegal",142101,"clothing","4",0.9423076923076923,"103416.283018867925","38684.716981132075"
"associate professor",142103,"clothing","3",0.9615384615384616,"103416.283018867925","38686.716981132075"
"design engineer",143853,"clothing","2",0.9807692307692307,"103416.283018867925","40436.716981132075"
"executive secretary",149099,"clothing","1",1,"103416.283018867925","45682.716981132075"
"software engineer iii",42797,"computers","53",0,"95054.528301886792","-52257.528301886792"
"research assistant i",43067,"computers","52",0.019230769230769232,"95054.528301886792","-51987.528301886792"
"data coordiator",44179,"computers","51",0.038461538461538464,"95054.528301886792","-50875.528301886792"
"assistant media planner",50235,"computers","50",0.057692307692307696,"95054.528301886792","-44819.528301886792"
"senior cost accountant",50511,"computers","49",0.07692307692307693,"95054.528301886792","-44543.528301886792"
"human resources assistant i",55747,"computers","48",0.09615384615384616,"95054.528301886792","-39307.528301886792"
"graphic designer",58420,"computers","47",0.11538461538461539,"95054.528301886792","-36634.528301886792"
"teacher",58697,"computers","46",0.1346153846153846,"95054.528301886792","-36357.528301886792"
"vp product management",59234,"computers","45",0.15384615384615385,"95054.528301886792","-35820.528301886792"
"sales representative",65154,"computers","44",0.17307692307692307,"95054.528301886792","-29900.528301886792"
"cost accountant",66357,"computers","43",0.19230769230769232,"95054.528301886792","-28697.528301886792"
"administrative officer",67845,"computers","42",0.21153846153846154,"95054.528301886792","-27209.528301886792"
"financial advisor",67942,"computers","41",0.23076923076923078,"95054.528301886792","-27112.528301886792"
"senior cost accountant",68344,"computers","40",0.25,"95054.528301886792","-26710.528301886792"
"senior developer",69705,"computers","39",0.2692307692307692,"95054.528301886792","-25349.528301886792"
"marketing assistant",72854,"computers","38",0.28846153846153844,"95054.528301886792","-22200.528301886792"
"information systems manager",73262,"computers","37",0.3076923076923077,"95054.528301886792","-21792.528301886792"
"health coach iii",74648,"computers","36",0.3269230769230769,"95054.528301886792","-20406.528301886792"
"structural analysis engineer",75024,"computers","35",0.34615384615384615,"95054.528301886792","-20030.528301886792"
"quality engineer",76809,"computers","34",0.36538461538461536,"95054.528301886792","-18245.528301886792"
"vp product management",77635,"computers","33",0.38461538461538464,"95054.528301886792","-17419.528301886792"
"compensation analyst",80397,"computers","32",0.40384615384615385,"95054.528301886792","-14657.528301886792"
"geological engineer",80743,"computers","31",0.4230769230769231,"95054.528301886792","-14311.528301886792"
"media manager i",85294,"computers","30",0.4423076923076923,"95054.528301886792","-9760.528301886792"
"sales associate",87800,"computers","29",0.46153846153846156,"95054.528301886792","-7254.528301886792"
"junior executive",88345,"computers","28",0.4807692307692308,"95054.528301886792","-6709.528301886792"
"operator",91532,"computers","27",0.5,"95054.528301886792","-3522.528301886792"
"recruiter",93266,"computers","26",0.5192307692307693,"95054.528301886792","-1788.528301886792"
"quality engineer",95436,"computers","25",0.5384615384615384,"95054.528301886792","381.471698113208"
"systems administrator iv",104079,"computers","24",0.5576923076923077,"95054.528301886792","9024.471698113208"
"research assistant iii",104517,"computers","23",0.5769230769230769,"95054.528301886792","9462.471698113208"
"web developer ii",107207,"computers","22",0.5961538461538461,"95054.528301886792","12152.471698113208"
"office assistant iii",107535,"computers","21",0.6153846153846154,"95054.528301886792","12480.471698113208"
"computer systems analyst i",107727,"computers","20",0.6346153846153846,"95054.528301886792","12672.471698113208"
"senior editor",108854,"computers","19",0.6538461538461539,"95054.528301886792","13799.471698113208"
"technical writer",111318,"computers","18",0.6730769230769231,"95054.528301886792","16263.471698113208"
"marketing assistant",116266,"computers","17",0.6923076923076923,"95054.528301886792","21211.471698113208"
"legal assistant",116333,"computers","16",0.7115384615384616,"95054.528301886792","21278.471698113208"
"director of sales",118602,"computers","15",0.7307692307692307,"95054.528301886792","23547.471698113208"
"administrative assistant i",119097,"computers","14",0.75,"95054.528301886792","24042.471698113208"
"help desk technician",127393,"computers","13",0.7692307692307693,"95054.528301886792","32338.471698113208"
"sales representative",128205,"computers","12",0.7884615384615384,"95054.528301886792","33150.471698113208"
"structural analysis engineer",130188,"computers","11",0.8076923076923077,"95054.528301886792","35133.471698113208"
"vp accounting",133091,"computers","10",0.8269230769230769,"95054.528301886792","38036.471698113208"
"nuclear power engineer",133498,"computers","9",0.8461538461538461,"95054.528301886792","38443.471698113208"
"biostatistician i",134205,"computers","8",0.8653846153846154,"95054.528301886792","39150.471698113208"
"software engineer i",136377,"computers","7",0.8846153846153846,"95054.528301886792","41322.471698113208"
"help desk operator",139714,"computers","6",0.9038461538461539,"95054.528301886792","44659.471698113208"
"engineer iii",142403,"computers","5",0.9230769230769231,"95054.528301886792","47348.471698113208"
"actuary",146024,"computers","4",0.9423076923076923,"95054.528301886792","50969.471698113208"
"vp quality control",147702,"computers","3",0.9615384615384616,"95054.528301886792","52647.471698113208"
"general manager",147868,"computers","2",0.9807692307692307,"95054.528301886792","52813.471698113208"
"speech pathologist",148408,"computers","1",1,"95054.528301886792","53353.471698113208"
"financial advisor",46960,"electronics","52",0,"99095.442307692308","-52135.442307692308"
"internal auditor",47007,"electronics","51",0.0196078431372549,"99095.442307692308","-52088.442307692308"
"help desk operator",47494,"electronics","50",0.0392156862745098,"99095.442307692308","-51601.442307692308"
"payment adjustment coordinator",47541,"electronics","49",0.058823529411764705,"99095.442307692308","-51554.442307692308"
"chemical engineer",49693,"electronics","48",0.0784313725490196,"99095.442307692308","-49402.442307692308"
"accounting assistant ii",54231,"electronics","47",0.09803921568627451,"99095.442307692308","-44864.442307692308"
"media manager i",58719,"electronics","46",0.11764705882352941,"99095.442307692308","-40376.442307692308"
"software test engineer iii",59763,"electronics","45",0.13725490196078433,"99095.442307692308","-39332.442307692308"
"marketing assistant",65083,"electronics","44",0.1568627450980392,"99095.442307692308","-34012.442307692308"
"dental hygienist",65889,"electronics","43",0.17647058823529413,"99095.442307692308","-33206.442307692308"
"web designer iii",66063,"electronics","42",0.19607843137254902,"99095.442307692308","-33032.442307692308"
"electrical engineer",66084,"electronics","41",0.21568627450980393,"99095.442307692308","-33011.442307692308"
"structural engineer",67470,"electronics","40",0.23529411764705882,"99095.442307692308","-31625.442307692308"
"librarian",71559,"electronics","39",0.2549019607843137,"99095.442307692308","-27536.442307692308"
"electrical engineer",75862,"electronics","38",0.27450980392156865,"99095.442307692308","-23233.442307692308"
"environmental specialist",77921,"electronics","37",0.29411764705882354,"99095.442307692308","-21174.442307692308"
"information systems manager",82358,"electronics","36",0.3137254901960784,"99095.442307692308","-16737.442307692308"
"registered nurse",83093,"electronics","35",0.3333333333333333,"99095.442307692308","-16002.442307692308"
"web designer ii",86670,"electronics","34",0.35294117647058826,"99095.442307692308","-12425.442307692308"
"accountant iii",88216,"electronics","33",0.37254901960784315,"99095.442307692308","-10879.442307692308"
"senior editor",88666,"electronics","32",0.39215686274509803,"99095.442307692308","-10429.442307692308"
"software test engineer ii",90960,"electronics","31",0.4117647058823529,"99095.442307692308","-8135.442307692308"
"project manager",93954,"electronics","30",0.43137254901960786,"99095.442307692308","-5141.442307692308"
"payment adjustment coordinator",98733,"electronics","29",0.45098039215686275,"99095.442307692308","-362.442307692308"
"human resources assistant ii",105444,"electronics","28",0.47058823529411764,"99095.442307692308","6348.557692307692"
"research associate",106229,"electronics","27",0.49019607843137253,"99095.442307692308","7133.557692307692"
"employees scientist",106535,"electronics","26",0.5098039215686274,"99095.442307692308","7439.557692307692"
"automation specialist i",106607,"electronics","25",0.5294117647058824,"99095.442307692308","7511.557692307692"
"nurse",108441,"electronics","24",0.5490196078431373,"99095.442307692308","9345.557692307692"
"engineer ii",109449,"electronics","23",0.5686274509803921,"99095.442307692308","10353.557692307692"
"automation specialist i",110839,"electronics","22",0.5882352941176471,"99095.442307692308","11743.557692307692"
"employees scientist",114690,"electronics","21",0.6078431372549019,"99095.442307692308","15594.557692307692"
"employees accountant ii",118307,"electronics","20",0.6274509803921569,"99095.442307692308","19211.557692307692"
"statistician iv",120138,"electronics","19",0.6470588235294118,"99095.442307692308","21042.557692307692"
"analog circuit design manager",122108,"electronics","18",0.6666666666666666,"99095.442307692308","23012.557692307692"
"director of sales",122231,"electronics","17",0.6862745098039216,"99095.442307692308","23135.557692307692"
"administrative officer",122540,"electronics","16",0.7058823529411765,"99095.442307692308","23444.557692307692"
"accountant iv",122843,"electronics","15",0.7254901960784313,"99095.442307692308","23747.557692307692"
"computer systems analyst i",123401,"electronics","14",0.7450980392156863,"99095.442307692308","24305.557692307692"
"chief design engineer",124418,"electronics","13",0.7647058823529411,"99095.442307692308","25322.557692307692"
"financial advisor",125523,"electronics","12",0.7843137254901961,"99095.442307692308","26427.557692307692"
"executive secretary",125668,"electronics","11",0.803921568627451,"99095.442307692308","26572.557692307692"
"professor",126307,"electronics","10",0.8235294117647058,"99095.442307692308","27211.557692307692"
"civil engineer",132634,"electronics","9",0.8431372549019608,"99095.442307692308","33538.557692307692"
"financial advisor",134940,"electronics","8",0.8627450980392157,"99095.442307692308","35844.557692307692"
"product engineer",136034,"electronics","7",0.8823529411764706,"99095.442307692308","36938.557692307692"
"chemical engineer",136406,"electronics","6",0.9019607843137255,"99095.442307692308","37310.557692307692"
"compensation analyst",136492,"electronics","5",0.9215686274509803,"99095.442307692308","37396.557692307692"
"research nurse",137025,"electronics","4",0.9411764705882353,"99095.442307692308","37929.557692307692"
"help desk technician",139304,"electronics","3",0.9607843137254902,"99095.442307692308","40208.557692307692"
"software engineer iii",149085,"electronics","2",0.9803921568627451,"99095.442307692308","49989.557692307692"
"senior sales associate",149336,"electronics","1",1,"99095.442307692308","50240.557692307692"
"paralegal",40218,"games","49",0,"91615.122448979592","-51397.122448979592"
"automation specialist i",41697,"games","48",0.020833333333333332,"91615.122448979592","-49918.122448979592"
"data coordiator",44704,"games","47",0.041666666666666664,"91615.122448979592","-46911.122448979592"
"biostatistician iv",44917,"games","46",0.0625,"91615.122448979592","-46698.122448979592"
"vp accounting",46247,"games","45",0.08333333333333333,"91615.122448979592","-45368.122448979592"
"help desk technician",46259,"games","44",0.10416666666666667,"91615.122448979592","-45356.122448979592"
"software test engineer ii",49296,"games","43",0.125,"91615.122448979592","-42319.122448979592"
"human resources assistant i",52808,"games","42",0.14583333333333334,"91615.122448979592","-38807.122448979592"
"internal auditor",57092,"games","41",0.16666666666666666,"91615.122448979592","-34523.122448979592"
"occupational therapist",57331,"games","40",0.1875,"91615.122448979592","-34284.122448979592"
"marketing assistant",61332,"games","39",0.20833333333333334,"91615.122448979592","-30283.122448979592"
"senior sales associate",62286,"games","38",0.22916666666666666,"91615.122448979592","-29329.122448979592"
"administrative officer",62293,"games","37",0.25,"91615.122448979592","-29322.122448979592"
"professor",64381,"games","36",0.2708333333333333,"91615.122448979592","-27234.122448979592"
"systems administrator iii",67140,"games","35",0.2916666666666667,"91615.122448979592","-24475.122448979592"
"payment adjustment coordinator",69855,"games","34",0.3125,"91615.122448979592","-21760.122448979592"
"geologist iii",71082,"games","33",0.3333333333333333,"91615.122448979592","-20533.122448979592"
"payment adjustment coordinator",73199,"games","32",0.3541666666666667,"91615.122448979592","-18416.122448979592"
"general manager",76943,"games","31",0.375,"91615.122448979592","-14672.122448979592"
"programmer analyst i",78158,"games","30",0.3958333333333333,"91615.122448979592","-13457.122448979592"
"cost accountant",80931,"games","29",0.4166666666666667,"91615.122448979592","-10684.122448979592"
"help desk operator",87422,"games","28",0.4375,"91615.122448979592","-4193.122448979592"
"biostatistician i",90120,"games","27",0.4583333333333333,"91615.122448979592","-1495.122448979592"
