"job_title","region_name","avg_salary","min_salary","max_salary","employee_count"
"administrative officer","nova scotia","68089.50",67845,68334,"2"
"administrative officer","southwest","58663.50",55034,62293,"2"
"analog circuit design manager","nova scotia","122108.00",122108,122108,"1"
"analog circuit design manager","quebec","102692.50",58235,147150,"2"
"analog circuit design manager","northwest","88182.00",54704,138179,"3"
"analog circuit design manager","southeast","82080.00",82080,82080,"1"
"analyst programmer","quebec","147290.00",147290,147290,"1"
"analyst programmer","northeast","88267.67",80939,91932,"3"
"analyst programmer","nova scotia","86655.00",52298,138682,"5"
"assistant manager","british columbia","104326.00",104326,104326,"1"
"assistant manager","northwest","91162.50",87134,98339,"4"
"assistant manager","northeast","87057.00",87057,87057,"1"
"assistant manager","southwest","51132.00",51132,51132,"1"
"assistant media planner","quebec","120579.00",120579,120579,"1"
"assistant media planner","southwest","119385.00",119385,119385,"1"
"assistant media planner","northeast","98490.00",50235,146745,"2"
"assistant media planner","northwest","95242.50",54599,135886,"2"
"assistant media planner","british columbia","88212.50",52430,123995,"2"
"assistant media planner","nova scotia","80417.00",80417,80417,"1"
"assistant media planner","southeast","75276.50",66847,83706,"2"
"assistant professor","northwest","141753.00",141753,141753,"1"
"assistant professor","nova scotia","139060.00",139060,139060,"1"
"assistant professor","british columbia","127467.67",90069,146167,"3"
"assistant professor","southeast","125398.00",125398,125398,"1"
"assistant professor","southwest","95995.00",55073,136917,"2"
"associate professor","southwest","142103.00",142103,142103,"1"
"associate professor","quebec","141505.00",141505,141505,"2"
"associate professor","northwest","95679.00",95679,95679,"1"
"associate professor","northeast","88470.00",88470,88470,"1"
"associate professor","nova scotia","79172.00",79172,79172,"1"
"associate professor","southeast","43097.00",43097,43097,"1"
"automation specialist i","quebec","122595.00",122595,122595,"1"
"automation specialist i","southeast","106607.00",106607,106607,"1"
"automation specialist i","northeast","79144.50",47450,110839,"2"
"automation specialist i","nova scotia","41697.00",41697,41697,"1"
"automation specialist iv","southeast","72001.00",72001,72001,"1"
"biostatistician i","southwest","134205.00",134205,134205,"1"
"biostatistician i","southeast","69076.67",58555,90120,"3"
"biostatistician ii","nova scotia","101582.00",101582,101582,"1"
"biostatistician iii","southeast","75159.00",75159,75159,"1"
"biostatistician iii","nova scotia","63717.50",50623,76812,"2"
"biostatistician iv","nova scotia","77307.00",77307,77307,"1"
"biostatistician iv","british columbia","44917.00",44917,44917,"1"
"budget/accounting analyst ii","northeast","98552.50",63598,133507,"2"
"budget/accounting analyst iii","northwest","143034.00",143034,143034,"1"
"budget/accounting analyst iii","quebec","135695.00",135695,135695,"1"
"budget/accounting analyst iii","southwest","133904.00",126468,141340,"2"
"business systems development analyst","northwest","130862.00",128726,132998,"2"
"business systems development analyst","nova scotia","99113.50",49113,149114,"2"
"business systems development analyst","southeast","92290.50",80137,104444,"2"
"business systems development analyst","southwest","89052.00",76229,101875,"2"
"business systems development analyst","british columbia","85511.00",85511,85511,"1"
"business systems development analyst","northeast","84954.00",70613,110058,"3"
"chemical engineer","british columbia","136854.50",125847,147862,"2"
"chemical engineer","northeast","110744.67",45456,147003,"3"
"chemical engineer","nova scotia","98263.33",49326,136406,"3"
"chemical engineer","southwest","77335.00",77335,77335,"1"
"chemical engineer","southeast","59382.00",49693,67758,"3"
"chief design engineer","nova scotia","124418.00",124418,124418,"1"
"chief design engineer","quebec","113149.00",109404,116894,"2"
"chief design engineer","southwest","110383.00",110383,110383,"1"
"civil engineer","southeast","116504.33",95583,132634,"3"
"civil engineer","nova scotia","115911.00",115911,115911,"1"
"civil engineer","northeast","87754.00",79339,96169,"2"
"civil engineer","northwest","83252.00",83252,83252,"1"
"civil engineer","british columbia","60743.00",60743,60743,"1"
"clinical specialist","southeast","131274.00",131274,131274,"1"
"clinical specialist","british columbia","93398.00",63133,112837,"3"
"clinical specialist","nova scotia","90156.50",66420,113893,"2"
"clinical specialist","northwest","86070.00",86070,86070,"1"
"community outreach specialist","nova scotia","131552.50",121966,141139,"2"
"community outreach specialist","british columbia","89285.00",89285,89285,"1"
"community outreach specialist","southeast","83968.00",60547,107389,"2"
"community outreach specialist","northwest","82372.33",80763,83177,"3"
"community outreach specialist","southwest","65765.25",58847,77486,"4"
"compensation analyst","southeast","142149.00",142149,142149,"1"
"compensation analyst","northwest","97819.00",85227,110411,"2"
"compensation analyst","southwest","86807.00",49457,136492,"5"
"compensation analyst","northeast","81280.50",80397,82164,"2"
"compensation analyst","british columbia","78256.67",65110,91182,"3"
"compensation analyst","nova scotia","63967.00",52572,86373,"3"
"compensation analyst","quebec","50308.00",50308,50308,"1"
"computer systems analyst i","quebec","126485.00",126485,126485,"2"
"computer systems analyst i","southeast","107727.00",107727,107727,"1"
"computer systems analyst i","southwest","97708.50",72016,123401,"2"
"computer systems analyst ii","british columbia","120108.00",120108,120108,"1"
"computer systems analyst iii","british columbia","102361.00",102361,102361,"1"
"computer systems analyst iv","southwest","123820.00",123820,123820,"1"
"computer systems analyst iv","british columbia","41299.00",41299,41299,"1"
"cost accountant","southwest","127171.00",127171,127171,"1"
"cost accountant","nova scotia","120678.67",110589,140858,"3"
"cost accountant","northwest","106159.50",66357,145962,"2"
"cost accountant","quebec","90937.00",90937,90937,"1"
"cost accountant","northeast","80931.00",80931,80931,"1"
"cost accountant","british columbia","71708.00",51761,91655,"2"
"database administrator i","british columbia","135719.00",135719,135719,"1"
"database administrator i","nova scotia","100763.00",100763,100763,"1"
"database administrator i","southeast","83908.50",52041,115776,"2"
"database administrator i","northeast","58805.00",58805,58805,"1"
"database administrator ii","quebec","132470.00",132470,132470,"1"
"database administrator ii","northwest","120160.00",120160,120160,"1"
"database administrator ii","british columbia","96782.00",96782,96782,"1"
"database administrator iii","nova scotia","114919.00",114919,114919,"1"
"database administrator iii","southeast","93839.00",93839,93839,"1"
"database administrator iii","southwest","50448.00",50448,50448,"1"
"database administrator iv","southeast","131152.00",131152,131152,"1"
"data coordiator","northeast","139347.00",139347,139347,"1"
"data coordiator","southwest","115110.50",82077,148144,"2"
"data coordiator","british columbia","108380.00",108380,108380,"1"
"data coordiator","nova scotia","59730.00",44179,75281,"2"
"data coordiator","southeast","48437.50",44704,52171,"2"
"dental hygienist","southeast","118849.00",90746,146952,"2"
"dental hygienist","southwest","102787.33",57781,132676,"3"
"dental hygienist","nova scotia","86291.00",86291,86291,"1"
"dental hygienist","quebec","65889.00",65889,65889,"1"
"design engineer","southeast","143853.00",143853,143853,"1"
"design engineer","northwest","128989.50",116301,141678,"2"
"design engineer","nova scotia","121086.67",73905,149351,"3"
"design engineer","quebec","77382.00",77382,77382,"1"
"desktop support technician","nova scotia","141375.00",141375,141375,"1"
"desktop support technician","british columbia","104802.00",78755,130849,"2"
"desktop support technician","northwest","96897.00",96897,96897,"1"
"desktop support technician","southeast","88122.00",67800,128766,"3"
"desktop support technician","quebec","46444.00",46444,46444,"1"
"developer i","southwest","129324.00",129324,129324,"2"
"developer ii","nova scotia","101599.00",101599,101599,"1"
"developer iii","northeast","124296.00",124296,124296,"1"
"developer iii","southeast","113857.00",113857,113857,"1"
"developer iii","southwest","102001.00",102001,102001,"1"
"developer iv","southeast","138137.00",138137,138137,"1"
"developer iv","british columbia","86524.00",86524,86524,"1"
"developer iv","nova scotia","79724.00",79724,79724,"1"
"developer iv","northwest","72334.00",72334,72334,"1"
"developer iv","quebec","47131.00",47131,47131,"1"
"director of sales","quebec","149929.00",149929,149929,"1"
"director of sales","southwest","139845.00",139845,139845,"1"
"director of sales","british columbia","120848.67",118602,122231,"3"
"director of sales","southeast","88781.00",67746,119769,"3"
"editor","quebec","119471.00",119471,119471,"1"
"editor","southeast","115679.00",115679,115679,"1"
"editor","british columbia","99175.50",83704,114647,"2"
"editor","southwest","93015.00",83237,102793,"2"
"editor","nova scotia","88431.00",53905,120225,"4"
"electrical engineer","southwest","117171.00",117171,117171,"1"
"electrical engineer","british columbia","108069.00",75862,140276,"2"
"electrical engineer","northwest","93062.00",79031,107093,"2"
"electrical engineer","northeast","91164.50",71448,110881,"2"
"electrical engineer","nova scotia","89303.75",42714,108378,"4"
"electrical engineer","southeast","72583.00",45774,126201,"3"
"electrical engineer","quebec","57509.00",48934,66084,"2"
"employees accountant i","northeast","141513.00",141513,141513,"1"
"employees accountant ii","northeast","118307.00",118307,118307,"1"
"employees accountant ii","quebec","80999.00",80999,80999,"1"
"employees accountant iii","northwest","146970.00",146970,146970,"1"
"employees accountant iii","northeast","117197.50",117147,117248,"2"
"employees accountant iii","southwest","91651.00",91651,91651,"1"
"employees accountant iv","quebec","143223.00",143223,143223,"1"
"employees scientist","southwest","131283.00",131283,131283,"1"
"employees scientist","southeast","114690.00",114690,114690,"1"
"employees scientist","quebec","104264.00",104264,104264,"1"
"employees scientist","northeast","99890.00",93245,106535,"2"
"employees scientist","northwest","81323.00",68684,93962,"2"
"employees scientist","british columbia","78894.00",66180,91608,"2"
"engineer i","quebec","122219.00",122219,122219,"1"
"engineer i","southeast","85249.00",85249,85249,"1"
"engineer i","british columbia","60318.00",60318,60318,"1"
"engineer ii","nova scotia","109449.00",109449,109449,"1"
"engineer iii","northwest","142403.00",142403,142403,"1"
"engineer iii","british columbia","48339.00",48339,48339,"1"
"engineer iii","southeast","44593.00",44593,44593,"1"
"engineer iv","british columbia","139302.00",139302,139302,"1"
"engineer iv","southwest","101855.00",101855,101855,"1"
"engineer iv","southeast","95787.00",95787,95787,"1"
"environmental specialist","northwest","113860.00",62441,140078,"3"
"environmental specialist","quebec","102426.50",93609,111244,"2"
"environmental specialist","southeast","85795.33",61446,122272,"3"
"environmental specialist","nova scotia","77921.00",77921,77921,"1"
"environmental specialist","british columbia","40194.00",40194,40194,"1"
"environmental tech","nova scotia","108444.00",108444,108444,"1"
"environmental tech","northeast","101646.00",101646,101646,"1"
"environmental tech","quebec","91296.00",91296,91296,"2"
"environmental tech","northwest","86497.67",71363,116767,"3"
"executive secretary","british columbia","144767.00",144767,144767,"1"
"executive secretary","quebec","144028.00",144028,144028,"1"
"executive secretary","southwest","133845.00",133845,133845,"1"
"executive secretary","nova scotia","122189.33",92640,148260,"3"
"executive secretary","northeast","106499.50",94502,118497,"2"
"executive secretary","northwest","102740.50",56382,149099,"2"
"executive secretary","southeast","78698.00",78698,78698,"1"
"financial advisor","northwest","145747.00",145747,145747,"1"
"financial advisor","nova scotia","124457.00",123391,125523,"2"
"financial advisor","british columbia","117682.00",104896,140243,"3"
"financial advisor","southwest","90683.75",46960,134940,"4"
"financial advisor","southeast","71869.00",71869,71869,"1"
"financial advisor","quebec","67942.00",67942,67942,"1"
"financial analyst","southwest","124045.00",107240,140850,"2"
"financial analyst","quebec","98785.00",78736,118834,"2"
"financial analyst","northeast","85012.00",85012,85012,"1"
"food chemist","nova scotia","143226.00",143226,143226,"1"
"food chemist","southeast","104149.00",104149,104149,"1"
"food chemist","southwest","74891.00",40415,95810,"4"
"food chemist","northeast","69702.00",69702,69702,"1"
"food chemist","british columbia","66313.00",66313,66313,"1"
"general manager","northwest","148687.00",148687,148687,"1"
"general manager","quebec","147868.00",147868,147868,"1"
"general manager","southwest","105348.00",87269,123427,"2"
"general manager","nova scotia","75958.00",74973,76943,"2"
"general manager","northeast","66608.00",66608,66608,"1"
"general manager","southeast","59580.00",59580,59580,"1"
"geological engineer","quebec","143595.00",143595,143595,"1"
"geological engineer","northeast","116491.67",81270,138459,"3"
"geological engineer","southeast","97126.50",80654,113599,"2"
"geological engineer","southwest","80743.00",80743,80743,"1"
"geological engineer","british columbia","54007.00",54007,54007,"1"
"geologist i","british columbia","110912.00",110912,110912,"1"
"geologist ii","british columbia","93804.00",93804,93804,"1"
"geologist ii","northwest","73755.00",73755,73755,"1"
"geologist iii","northeast","149835.00",149835,149835,"1"
"geologist iii","southwest","67255.00",67255,67255,"1"
"geologist iii","nova scotia","63404.00",55726,71082,"2"
"geologist iv","nova scotia","138540.00",138540,138540,"1"
"geologist iv","southwest","90044.50",44096,135993,"2"
"geologist iv","northwest","43986.00",43986,43986,"1"
"gis technical architect","northwest","118848.50",92334,145363,"2"
"gis technical architect","british columbia","113864.75",89114,142967,"4"
"gis technical architect","southeast","101919.00",72008,131830,"2"
"gis technical architect","nova scotia","80491.00",80491,80491,"1"
"gis technical architect","southwest","71676.00",71676,71676,"1"
"gis technical architect","northeast","45486.00",45486,45486,"1"
"graphic designer","british columbia","119747.00",119747,119747,"1"
"graphic designer","northeast","105134.50",58420,135326,"6"
"graphic designer","quebec","100380.50",96388,104373,"2"
"graphic designer","southeast","78633.67",48050,107749,"3"
"health coach i","nova scotia","134813.00",134813,134813,"1"
"health coach i","southwest","93834.00",90317,97351,"2"
"health coach i","northwest","93665.00",93665,93665,"1"
"health coach i","southeast","43940.00",43940,43940,"1"
"health coach ii","southwest","81273.00",81273,81273,"1"
"health coach iii","southeast","74648.00",74648,74648,"1"
"health coach iv","northeast","103594.00",93534,113654,"2"
"health coach iv","british columbia","44093.00",44093,44093,"1"
"help desk operator","southeast","135394.50",131075,139714,"2"
"help desk operator","british columbia","128947.00",128947,128947,"1"
"help desk operator","northwest","116189.00",100716,131662,"2"
"help desk operator","southwest","93485.00",43537,148889,"3"
"help desk operator","northeast","90797.00",90797,90797,"1"
"help desk operator","nova scotia","87422.00",87422,87422,"1"
"help desk operator","quebec","52572.50",47494,57651,"2"
"help desk technician","northwest","139304.00",139304,139304,"1"
"help desk technician","nova scotia","127749.00",127393,128105,"2"
"help desk technician","southwest","101633.50",65563,137704,"2"
"help desk technician","quebec","47963.00",46259,49667,"2"
"human resources assistant i","northwest","138093.00",138093,138093,"1"
"human resources assistant i","northeast","55747.00",55747,55747,"1"
"human resources assistant i","southeast","52808.00",52808,52808,"1"
"human resources assistant ii","british columbia","121300.00",121300,121300,"2"
"human resources assistant ii","quebec","105444.00",105444,105444,"1"
"human resources assistant iii","quebec","120085.00",120085,120085,"1"
"human resources assistant iii","nova scotia","55165.50",48812,61519,"2"
"human resources assistant iv","southwest","76352.00",76352,76352,"1"
"human resources manager","northeast","132421.00",132421,132421,"1"
"human resources manager","northwest","73425.00",73425,73425,"1"
"information systems manager","nova scotia","145284.00",145284,145284,"1"
"information systems manager","northwest","112126.00",112126,112126,"1"
"information systems manager","northeast","99151.00",99151,99151,"1"
"information systems manager","southwest","97434.00",82358,112510,"2"
"information systems manager","british columbia","78655.50",73262,84049,"2"
"information systems manager","southeast","68857.00",68857,68857,"1"
"internal auditor","southwest","148640.00",148640,148640,"1"
"internal auditor","british columbia","143855.00",143855,143855,"1"
"internal auditor","northeast","123936.00",123936,123936,"1"
"internal auditor","nova scotia","112004.00",112004,112004,"1"
"internal auditor","southeast","57092.00",57092,57092,"1"
"internal auditor","northwest","47007.00",47007,47007,"1"
"junior executive","nova scotia","113568.00",93712,133424,"2"
"junior executive","quebec","111599.67",88345,125914,"3"
"junior executive","southwest","82674.00",82674,82674,"1"
"legal assistant","southwest","131961.00",131961,131961,"1"
"legal assistant","northeast","127645.00",127645,127645,"1"
"legal assistant","british columbia","110809.33",76932,139163,"3"
"legal assistant","nova scotia","110749.00",110749,110749,"1"
"librarian","southeast","142529.00",142529,142529,"1"
"librarian","quebec","115888.00",115888,115888,"1"
"librarian","southwest","107424.00",88165,126683,"2"
"librarian","nova scotia","94884.00",94884,94884,"1"
"librarian","northeast","75748.67",71559,78157,"3"
"librarian","british columbia","73412.00",73412,73412,"1"
"marketing assistant","southwest","144932.00",144932,144932,"1"
"marketing assistant","southeast","100216.80",42924,144724,"5"
"marketing assistant","quebec","90674.50",65083,116266,"2"
"marketing assistant","northwest","88160.50",61332,114989,"2"
"marketing assistant","nova scotia","72854.00",72854,72854,"1"
"marketing manager","quebec","142988.00",142988,142988,"1"
"marketing manager","southwest","79718.00",79718,79718,"1"
"marketing manager","northwest","77060.00",77060,77060,"1"
"marketing manager","british columbia","45463.00",45463,45463,"1"
"mechanical systems engineer","quebec","138844.00",138844,138844,"1"
"mechanical systems engineer","southwest","109233.00",109233,109233,"1"
"mechanical systems engineer","southeast","91249.00",91249,91249,"1"
"mechanical systems engineer","nova scotia","73565.00",73565,73565,"1"
"mechanical systems engineer","british columbia","55081.00",55081,55081,"1"
"mechanical systems engineer","northeast","53798.00",53798,53798,"1"
"media manager i","southwest","72006.50",58719,85294,"2"
"media manager ii","southwest","136448.00",136448,136448,"2"
"media manager iii","southwest","94299.00",94299,94299,"1"
"media manager iii","southeast","88439.00",88439,88439,"1"
"nuclear power engineer","southeast","136790.00",136790,136790,"1"
"nuclear power engineer","nova scotia","132030.50",130563,133498,"2"
"nuclear power engineer","northeast","107709.00",107709,107709,"1"
"nuclear power engineer","british columbia","86046.00",86046,86046,"1"
"nuclear power engineer","quebec","73635.50",69026,78245,"2"
"nurse","southwest","127521.00",127521,127521,"2"
"nurse","quebec","108441.00",108441,108441,"1"
"nurse","northeast","91112.00",41516,140708,"2"
"nurse","southeast","79129.75",46072,95542,"4"
"nurse","british columbia","48769.00",48769,48769,"1"
"nurse practicioner","southeast","144965.00",144965,144965,"1"
"nurse practicioner","southwest","137920.50",127268,148573,"2"
"nurse practicioner","british columbia","116480.00",116480,116480,"1"
"nurse practicioner","northeast","103845.00",103845,103845,"1"
"nurse practicioner","northwest","58265.00",58265,58265,"1"
"nurse practicioner","quebec","48684.00",48684,48684,"1"
"occupational therapist","southwest","134422.00",134422,134422,"1"
"occupational therapist","southeast","106602.00",106602,106602,"1"
"occupational therapist","quebec","97427.00",97427,97427,"1"
"occupational therapist","british columbia","95012.33",49503,128805,"3"
"occupational therapist","northeast","83147.00",63836,102458,"2"
"occupational therapist","nova scotia","81870.00",81870,81870,"1"
"occupational therapist","northwest","76352.33",57331,97913,"3"
"office assistant i","southwest","133781.00",133781,133781,"1"
"office assistant ii","southeast","125944.00",125944,125944,"1"
"office assistant ii","british columbia","48064.00",48064,48064,"1"
"office assistant iii","southeast","145559.00",145559,145559,"1"
"office assistant iii","british columbia","128885.00",128885,128885,"2"
"office assistant iii","nova scotia","107535.00",107535,107535,"1"
"office assistant iv","northeast","138076.00",136356,139796,"2"
"office assistant iv","british columbia","130097.00",130097,130097,"1"
"operator","southeast","135445.00",135445,135445,"1"
"operator","southwest","120174.00",91532,148816,"2"
"operator","british columbia","90818.00",54413,127223,"2"
"operator","quebec","88887.00",51782,137594,"3"
"operator","northeast","65556.33",50066,83804,"3"
"paralegal","quebec","110615.00",110615,110615,"1"
"paralegal","southeast","91159.50",40218,142101,"2"
"paralegal","nova scotia","88972.00",88972,88972,"1"
"paralegal","northeast","87403.00",55265,146256,"3"
"payment adjustment coordinator","northeast","145283.00",145283,145283,"1"
"payment adjustment coordinator","northwest","107222.00",107222,107222,"1"
"payment adjustment coordinator","southwest","84294.00",69855,98733,"2"
"payment adjustment coordinator","southeast","77537.67",47541,111873,"3"
"payment adjustment coordinator","nova scotia","41855.00",41855,41855,"1"
"payment adjustment coordinator","quebec","40138.00",40138,40138,"1"
"pharmacist","nova scotia","139564.00",139564,139564,"1"
"pharmacist","northwest","119773.00",119773,119773,"1"
"pharmacist","quebec","115541.00",115541,115541,"1"
"pharmacist","southeast","73918.33",52792,85559,"3"
"pharmacist","northeast","72144.00",53964,108504,"3"
"physical therapy assistant","northwest","138815.00",138815,138815,"1"
"physical therapy assistant","quebec","43431.00",43431,43431,"1"
"product engineer","southwest","142656.00",136034,148860,"4"
"product engineer","nova scotia","139486.00",139486,139486,"1"
"product engineer","quebec","134074.00",134074,134074,"1"
"product engineer","southeast","96988.50",60203,115506,"4"
"product engineer","british columbia","64938.50",47879,81998,"2"
"product engineer","northeast","48840.00",48840,48840,"1"
"professor","southwest","126307.00",126307,126307,"1"
"professor","quebec","120086.00",120086,120086,"1"
"professor","northeast","91771.00",41026,142516,"2"
"professor","british columbia","68364.00",68364,68364,"1"
"professor","nova scotia","64381.00",64381,64381,"1"
"programmer analyst i","british columbia","78158.00",78158,78158,"1"
"programmer analyst i","southwest","65767.00",65767,65767,"1"
"programmer analyst ii","nova scotia","54410.00",54410,54410,"1"
"programmer analyst iii","northeast","145181.00",145181,145181,"1"
"programmer analyst iii","northwest","105123.50",69559,140688,"2"
"programmer analyst iv","northeast","53317.00",47271,59363,"2"
"programmer i","northeast","144073.00",144073,144073,"1"
"programmer i","southwest","96107.50",80788,111427,"2"
"programmer ii","british columbia","83543.00",83543,83543,"1"
"programmer iii","british columbia","128048.00",128048,128048,"1"
"programmer iii","southeast","113311.00",113311,113311,"1"
"programmer iii","northwest","47206.00",47206,47206,"1"
"programmer iv","southwest","141464.00",141464,141464,"1"
"programmer iv","british columbia","127381.33",101756,140194,"3"
"programmer iv","quebec","102708.50",56465,148952,"2"
"programmer iv","southeast","42602.00",42602,42602,"2"
"project manager","british columbia","121430.00",93954,148906,"2"
"project manager","northeast","96433.33",65650,122130,"3"
"project manager","southeast","44788.00",44788,44788,"1"
"quality control specialist","quebec","90068.00",90068,90068,"1"
"quality control specialist","northeast","89176.00",72319,106033,"2"
"quality control specialist","southwest","80830.00",80830,80830,"1"
"quality control specialist","northwest","72748.00",72748,72748,"1"
"quality control specialist","british columbia","40254.00",40254,40254,"1"
"quality engineer","southwest","142255.00",142255,142255,"1"
"quality engineer","northwest","95436.00",95436,95436,"1"
"quality engineer","quebec","76809.00",76809,76809,"1"
"quality engineer","southeast","62368.00",47716,70804,"3"
"quality engineer","northeast","61739.00",61739,61739,"1"
"quality engineer","nova scotia","44919.00",44919,44919,"1"
"recruiter","nova scotia","93266.00",93266,93266,"1"
"recruiter","british columbia","92895.00",79980,105810,"2"
"recruiter","quebec","90829.00",90829,90829,"1"
"recruiter","northeast","62527.00",62527,62527,"1"
"recruiting manager","southwest","131184.00",127367,135001,"2"
"recruiting manager","southeast","124215.00",124215,124215,"1"
"recruiting manager","northeast","121073.00",99352,142794,"2"
"recruiting manager","british columbia","104687.00",63682,145692,"2"
"recruiting manager","northwest","83680.00",69594,101768,"5"
"registered nurse","northwest","92478.00",60268,144661,"3"
"registered nurse","nova scotia","87094.60",55077,144953,"5"
"registered nurse","quebec","86533.50",48360,124707,"2"
"registered nurse","northeast","83093.00",83093,83093,"1"
"registered nurse","southwest","68951.25",46653,95726,"4"
"research assistant i","british columbia","91660.00",91660,91660,"1"
"research assistant i","nova scotia","43067.00",43067,43067,"1"
"research assistant ii","northeast","119414.00",119414,119414,"1"
"research assistant ii","nova scotia","115251.50",83802,146701,"2"
"research assistant ii","quebec","111041.00",111041,111041,"2"
"research assistant ii","northwest","90409.00",90409,90409,"1"
"research assistant iii","nova scotia","135132.00",135132,135132,"1"
"research assistant iii","northwest","118793.00",118793,118793,"1"
"research assistant iii","southeast","104517.00",104517,104517,"1"
"research assistant iv","british columbia","63929.00",63929,63929,"1"
"research assistant iv","quebec","55002.00",55002,55002,"1"
"research associate","quebec","133040.00",133040,133040,"1"
"research associate","northeast","125574.00",125574,125574,"1"
"research associate","southwest","113641.00",90086,144608,"3"
"research associate","southeast","94982.00",54876,140567,"3"
"research associate","nova scotia","63341.00",63341,63341,"1"
"research associate","british columbia","58111.00",58111,58111,"1"
"research nurse","nova scotia","133275.00",133190,133360,"2"
"research nurse","quebec","110366.00",110366,110366,"1"
"research nurse","british columbia","107567.00",78109,137025,"2"
"research nurse","southwest","107531.00",94685,120377,"2"
"research nurse","northwest","87422.00",87422,87422,"1"
"research nurse","northeast","58324.50",49463,67186,"2"
"safety technician i","british columbia","147739.00",147739,147739,"1"
"safety technician i","northwest","108248.00",108248,108248,"1"
"safety technician i","southwest","84427.00",84427,84427,"1"
"safety technician iv","northeast","118791.00",118791,118791,"1"
"safety technician iv","southwest","110622.00",110622,110622,"1"
"safety technician iv","northwest","96163.00",96163,96163,"1"
"safety technician iv","nova scotia","87097.00",87097,87097,"1"
"sales associate","southeast","114527.25",101006,147440,"4"
"sales associate","british columbia","110407.00",110407,110407,"1"
"sales associate","northwest","95548.00",95548,95548,"1"
"sales associate","nova scotia","87800.00",87800,87800,"1"
"sales associate","northeast","49048.00",49048,49048,"1"
"sales representative","northeast","119954.50",108093,131816,"2"
"sales representative","southeast","110942.00",73778,148106,"2"
"sales representative","quebec","88566.00",48927,128205,"2"
"sales representative","british columbia","83651.50",65154,102149,"2"
"sales representative","southwest","62664.00",61992,63336,"2"
"senior cost accountant","southeast","124700.00",108970,140430,"2"
"senior cost accountant","northeast","100741.00",100741,100741,"1"
"senior cost accountant","nova scotia","85130.33",55568,131479,"3"
"senior cost accountant","british columbia","84549.00",84549,84549,"1"
"senior cost accountant","northwest","76361.00",50511,102211,"2"
"senior developer","nova scotia","128562.00",128562,128562,"1"
"senior developer","quebec","105686.00",105686,105686,"1"
"senior developer","southwest","105590.75",49644,126103,"4"
"senior developer","northwest","77686.80",52956,106281,"5"
"senior developer","southeast","64410.00",64410,64410,"1"
"senior editor","southeast","138776.00",138776,138776,"1"
"senior editor","northeast","128646.00",128646,128646,"1"
