"job_title","avg_salary","employee_count"
"occupational therapist","91725.75","12"
"media manager iii","91369.00","2"
"senior sales associate","91265.88","8"
"teacher","91171.56","9"
"physical therapy assistant","91123.00","2"
"nurse","91099.50","10"
"geologist iv","90653.75","4"
"administrative officer","90566.13","8"
"pharmacist","90340.56","9"
"account executive","90158.50","6"
"software test engineer i","89289.40","5"
"engineer i","89262.00","3"
"accountant i","88546.40","5"
"vp sales","88331.33","6"
"accounting assistant i","88138.25","4"
"office assistant ii","87004.00","2"
"electrical engineer","86984.00","16"
"mechanical systems engineer","86961.67","6"
"data coordiator","86785.38","8"
"assistant manager","86737.86","7"
"recruiter","86482.40","5"
"database administrator iii","86402.00","3"
"marketing manager","86307.25","4"
"geologist iii","85974.50","4"
"accounting assistant iv","85876.33","3"
"community outreach specialist","85875.33","12"
"automation specialist i","85837.60","5"
"food chemist","85369.25","8"
"biostatistician i","85358.75","4"
"software engineer iii","85194.67","3"
"developer iv","84770.00","5"
"geologist ii","83779.50","2"
"administrative assistant iii","83763.67","3"
"health coach iv","83760.33","3"
"programmer ii","83543.00","1"
"compensation analyst","83021.29","17"
"registered nurse","82991.47","15"
"computer systems analyst iv","82559.50","2"
"human resources assistant i","82216.00","3"
"payment adjustment coordinator","81744.33","9"
"systems administrator iv","81510.25","4"
"health coach ii","81273.00","1"
"vp marketing","79163.29","7"
"tax accountant","78848.63","8"
"engineer iii","78445.00","3"
"quality control specialist","77042.00","6"
"human resources assistant iii","76805.33","3"
"human resources assistant iv","76352.00","1"
"administrative assistant ii","76063.00","1"
"quality engineer","76032.75","8"
"health coach iii","74648.00","1"
"media manager i","72006.50","2"
"automation specialist iv","72001.00","1"
"programmer analyst i","71962.50","2"
"software test engineer ii","70128.00","2"
"biostatistician iii","67531.33","3"
"research assistant i","67363.50","2"
"accounting assistant ii","65481.00","2"
"biostatistician iv","61112.00","2"
"software test engineer iii","59763.00","1"
"research assistant iv","59465.50","2"
"programmer analyst ii","54410.00","1"
"programmer analyst iv","53317.00","2"
"account representative ii","49410.00","1"
"administrative assistant iv","43366.00","1"
